"model_id","term","estimate","standard_error","lower","upper","z_value","p_value","confidence_level"
"M0","(Intercept)",-1.77316121591747,0.100505596293868,-1.97014856489818,-1.57617386693677,-17.6424127740403,1.16383734562935e-69,0.95
"M0","age_rcs1",0.475502509578175,0.0977863278735548,0.283844828765582,0.667160190390767,4.86266863597778,1.15813636670029e-06,0.95
"M0","age_rcs2",0.684716681362913,0.0627324888691824,0.561763262518756,0.80767010020707,10.9148655458381,9.78740157505422e-28,0.95
"M0","sex_female",0.457271528142901,0.0519426616451347,0.355465782057287,0.559077274228515,8.80339038586275,1.32743819077052e-18,0.95
"M0","pf_ratio_rcs1",-0.895975279799079,0.108816563847006,-1.10925182586061,-0.682698733737544,-8.23381338395139,1.81346119555406e-16,0.95
"M0","pf_ratio_rcs2",-0.36896731374789,0.0700755187530794,-0.506312806701887,-0.231621820793894,-5.26528123249429,1.39974913581146e-07,0.95
"M0","map_rcs1",-0.503472363735832,0.0622138001069363,-0.625409171286801,-0.381535556184862,-8.09261551087439,5.83969774617873e-16,0.95
"M0","map_rcs2",0.0287195166449084,0.0562011587323219,-0.0814327303598613,0.138871763649678,0.511012891774979,0.609342029644194,0.95
"M0","vasopressor",0.0657467479582642,0.0553739056755275,-0.0427841128490877,0.174277608765616,1.1873236528324,0.235099981824225,0.95
"M0","platelet_rcs1",-0.858776637213527,0.10538909972558,-1.06533547703876,-0.652217797388291,-8.148628648026,3.68074343062306e-16,0.95
"M0","platelet_rcs2",0.0475276112325887,0.0449370417196207,-0.0405473721096417,0.135602594574819,1.05764886636578,0.290215555313848,0.95
"M0","creatinine_rcs1",2.76004104796128,0.132135448389521,2.50106032803677,3.0190217678858,20.8879682295775,6.88883511006774e-97,0.95
"M0","creatinine_rcs2",1.16245523538852,0.0494527923498612,1.06552954344785,1.25938092732919,23.5063619292629,3.51131859528806e-122,0.95
"M_MP","(Intercept)",-2.69386954178596,0.126955221329092,-2.94269720324029,-2.44504188033163,-21.2190527776951,6.36942541182089e-100,0.95
"M_MP","age_rcs1",0.690550558143134,0.101340935679161,0.491925974052388,0.88917514223388,6.81413244820801,9.48343036924316e-12,0.95
"M_MP","age_rcs2",0.863984035379775,0.0649876415005437,0.736610598598509,0.991357472161041,13.2945897932386,2.48834133726595e-40,0.95
"M_MP","sex_female",0.563828126132495,0.0532136281351956,0.459531331500804,0.668124920764186,10.5955588049742,3.1246918300024e-26,0.95
"M_MP","pf_ratio_rcs1",-0.464073434772489,0.115350179593961,-0.69015563238688,-0.237991237158099,-4.02317045717703,5.74199072433028e-05,0.95
"M_MP","pf_ratio_rcs2",-0.201326736223248,0.071920344198071,-0.342288020607191,-0.0603654518393044,-2.79930162276181,0.00512132741914236,0.95
"M_MP","map_rcs1",-0.466601065987244,0.0629544577238999,-0.589989535792337,-0.343212596182151,-7.41172401219977,1.24667993438587e-13,0.95
"M_MP","map_rcs2",0.044806658930429,0.0567741334838548,-0.0664685979513959,0.156081915812254,0.789209032017564,0.429989843912143,0.95
"M_MP","vasopressor",0.0168611221130619,0.0559754881459623,-0.0928488186700729,0.126571062896197,0.30122331526783,0.763244211982674,0.95
"M_MP","platelet_rcs1",-0.949006793286973,0.10678471735894,-1.15830099340978,-0.739712593164162,-8.88710310574723,6.27227990621251e-19,0.95
"M_MP","platelet_rcs2",0.00478325472883048,0.0454659406816984,-0.0843283515305329,0.0938948609881938,0.105205229609511,0.916212961125407,0.95
"M_MP","creatinine_rcs1",2.4466507793429,0.134945891758051,2.18216169163548,2.71113986705032,18.1306058855765,1.82734626651224e-73,0.95
"M_MP","creatinine_rcs2",1.04310953951679,0.0505164503177003,0.944099116267288,1.14211996276629,20.6489080874967,9.98511708582268e-95,0.95
"M_MP","smp",0.0413937117969104,0.00330641307414606,0.0349132612535718,0.047874162340249,12.519219731068,5.86084598322843e-36,0.95
"M_4DPRR","(Intercept)",-3.12033254327118,0.151372455095145,-3.41701710350907,-2.82364798303329,-20.6136086073909,2.0719419720296e-94,0.95
