endpoint,N,events,C_frozen_model,C_low,C_high,MP_incr_OR_perSD,MP_incr_p
28-day mortality,19394,4032,0.6649,0.6552,0.6746,1.419,7.68e-78
In-hospital mortality,19394,3780,0.6702,0.6602,0.6803,1.487,4.64e-96
