cohort,N_stays,Pearson_r,Spearman_r,Bias_row_minus_comp,LoA_lower,LoA_upper
MIMIC (development),17573,0.799,0.731,1.29,-7.06,9.64
eICU (external),1821,0.849,0.823,2.33,-5.93,10.6
