analysis,N,events,MP_OR_perSD,CI_low,CI_high,p
Complete-case (unweighted),1837,610,1.205,1.074,1.351,0.00144
IPW-weighted (selection-corrected),1837,610,1.16,1.031,1.305,0.0133
